vehicle_id,technology,actual_price,recommended_price,num_images,street_parked,description,target
1,1,67.85,59,5,0,7,1.0
2,0,100.7,53,5,0,224,7.0
3,0,74.0,74,4,1,21,17.0
4,0,135.0,75,1,0,184,2.0
5,0,59.36,53,2,1,31,2.0
6,0,82.15,53,5,1,44,13.0
7,0,165.17,83,3,0,32,
8,0,98.56,88,5,1,174,8.0
9,1,69.96,44,4,1,32,11.0
10,0,98.04,76,4,1,204,9.0
11,0,123.08,68,2,0,46,4.0
12,0,128.0,64,2,1,227,4.0
13,0,109.8,60,1,0,40,
14,0,104.5,55,1,1,213,3.0
15,0,142.56,81,3,0,36,5.0
16,0,55.66,46,2,0,204,2.0
17,0,43.46,53,5,1,132,5.0
18,0,82.08,54,5,0,244,7.0
19,0,109.98,78,2,0,156,3.0
20,0,99.4,71,3,0,12,12.0
21,1,64.0,50,1,0,35,9.0
22,1,55.2,46,4,0,10,13.0
23,1,70.04,68,3,1,233,5.0
24,0,111.78,69,5,1,16,2.0
25,0,116.44,71,4,0,230,11.0
26,0,97.92,51,5,1,233,13.0
27,0,60.5,50,5,1,181,14.0
28,1,51.45,49,1,0,52,19.0
29,0,77.88,44,4,1,85,9.0
30,0,100.34,58,4,0,29,11.0
31,0,87.88,52,2,1,33,3.0
32,0,136.5,75,5,0,214,6.0
33,0,126.06,66,1,0,97,
34,0,90.0,75,5,0,58,7.0
35,0,117.03,83,5,1,44,10.0
36,0,74.97,63,5,0,43,1.0
37,1,53.32,43,2,0,43,6.0
38,0,86.24,44,4,0,69,5.0
39,1,64.98,57,2,1,231,10.0
40,0,116.44,71,4,0,165,8.0
41,0,74.93,59,5,1,106,5.0
42,0,112.2,68,2,1,9,4.0
43,1,67.94,79,3,0,179,3.0
44,0,95.81,67,5,0,83,2.0
45,0,115.71,87,2,0,20,
46,0,89.46,71,2,1,47,10.0
47,0,93.6,80,4,1,22,10.0
48,1,53.82,39,2,0,233,10.0
49,0,162.68,83,4,0,23,8.0
50,0,99.44,88,2,0,183,13.0
51,1,57.0,57,1,0,57,16.0
52,0,59.92,56,4,0,12,6.0
53,0,90.95,85,2,1,43,4.0
54,0,52.92,36,3,0,19,6.0
55,0,61.92,43,3,1,117,3.0
56,0,102.75,75,3,0,241,11.0
57,0,72.54,62,4,1,34,10.0
58,0,154.84,79,2,0,245,1.0
59,0,75.46,77,5,0,24,18.0
60,0,146.96,88,5,0,205,7.0
61,0,164.34,83,2,0,153,2.0
62,1,50.4,42,5,0,115,12.0
63,0,85.32,79,2,0,62,17.0
64,0,121.44,88,2,0,83,4.0
65,0,122.84,83,1,0,122,2.0
66,1,49.28,56,4,1,237,19.0
67,0,100.8,70,2,0,18,3.0
68,0,119.29,79,2,1,247,4.0
69,0,37.74,37,5,1,130,17.0
70,1,40.33,37,4,1,172,13.0
71,0,96.94,74,5,1,24,10.0
72,0,121.04,89,1,0,36,2.0
73,0,75.97,71,4,1,195,10.0
74,0,71.28,54,5,1,218,1.0
75,1,65.5,50,2,0,149,3.0
76,0,63.94,46,2,0,9,4.0
77,1,53.0,50,3,1,233,20.0
78,0,139.62,78,3,0,60,3.0
79,0,70.4,40,1,0,157,2.0
80,0,114.54,83,2,0,32,1.0
81,0,148.63,89,4,0,7,3.0
82,0,144.0,80,2,0,219,5.0
83,0,90.75,75,4,0,184,8.0
84,0,113.23,67,4,1,24,8.0
85,0,116.25,75,2,0,47,4.0
86,0,103.32,84,3,1,239,
87,0,53.58,47,3,0,43,3.0
88,1,46.55,35,4,0,78,13.0
89,0,109.35,81,1,0,17,3.0
90,0,125.8,68,1,1,38,3.0
91,1,62.92,44,1,1,189,5.0
92,0,116.44,82,4,1,17,4.0
93,1,54.12,66,5,1,57,17.0
94,0,65.49,37,3,1,43,7.0
95,0,102.2,73,4,1,74,6.0
96,0,92.8,58,5,1,6,10.0
97,0,84.48,64,4,0,243,5.0
98,0,119.93,67,2,1,68,3.0
99,1,47.88,38,1,0,65,9.0
100,0,112.64,88,4,1,7,9.0
101,0,46.8,36,2,0,209,
102,0,92.16,72,3,0,232,8.0
103,0,79.2,45,1,0,147,1.0
104,0,79.2,66,4,0,38,
105,0,103.68,72,1,0,28,5.0
106,1,52.2,60,3,1,17,17.0
107,0,117.48,89,3,0,7,5.0
108,0,152.8,80,5,0,41,10.0
109,0,128.16,89,5,1,174,9.0
110,0,153.08,89,2,1,20,2.0
111,0,91.8,60,3,0,38,7.0
112,0,117.03,83,3,0,40,
113,0,80.52,66,1,1,237,13.0
114,0,77.4,43,4,0,33,2.0
115,0,74.36,52,2,1,25,9.0
116,0,107.38,59,1,1,154,1.0
117,0,67.28,58,3,0,77,15.0
118,0,82.0,50,5,0,33,13.0
119,0,139.5,75,5,1,247,10.0
120,0,87.92,56,3,1,34,4.0
121,0,141.75,81,2,1,150,2.0
122,0,96.72,52,3,0,98,4.0
123,0,124.44,68,3,1,12,5.0
124,0,64.05,61,5,1,22,4.0
125,0,72.15,65,2,0,6,3.0
126,1,63.35,35,2,0,173,3.0
127,0,60.63,43,4,0,215,10.0
128,0,109.12,88,1,1,148,4.0
129,0,37.45,35,3,0,38,7.0
130,0,139.3,70,2,1,18,5.0
131,0,98.28,84,4,0,38,13.0
132,1,49.45,43,4,1,196,12.0
133,0,83.93,77,1,1,60,7.0
134,1,63.96,41,3,1,107,5.0
135,0,45.98,38,1,0,60,6.0
136,1,61.92,43,3,1,18,9.0
137,0,77.72,67,4,0,23,5.0
138,0,60.63,47,5,0,170,11.0
139,0,73.98,54,4,0,189,7.0
140,1,49.7,35,5,1,180,1.0
141,0,77.52,68,1,1,15,4.0
142,0,94.34,89,3,0,155,12.0
143,0,111.78,81,1,1,215,
144,0,120.78,61,4,1,50,4.0
145,1,38.0,38,3,1,19,3.0
146,0,90.9,90,3,0,28,11.0
147,0,131.25,75,3,0,30,1.0
148,0,45.63,39,5,0,248,4.0
149,0,160.65,85,1,1,4,4.0
150,0,82.15,53,5,0,14,3.0
151,0,104.98,58,3,1,127,7.0
152,0,73.63,37,2,1,67,4.0
153,0,105.3,78,3,0,224,11.0
154,0,146.78,82,3,0,12,4.0
155,1,66.67,59,3,1,31,1.0
156,1,68.32,61,5,1,228,9.0
157,0,99.54,79,2,1,121,2.0
158,0,166.17,87,3,1,30,10.0
159,0,44.29,43,4,0,241,10.0
160,0,96.64,64,3,1,81,3.0
161,0,83.6,76,4,1,30,
162,0,115.02,71,1,0,237,4.0
163,0,68.2,44,5,0,130,4.0
164,0,72.42,51,1,0,2,3.0
165,0,73.84,71,2,1,70,2.0
166,0,74.88,48,4,0,11,7.0
167,0,126.15,87,5,1,37,10.0
168,0,117.8,62,2,1,7,
169,0,99.0,55,4,0,9,7.0
170,0,72.0,50,4,0,119,
171,0,95.25,75,5,1,126,6.0
172,0,68.04,42,2,0,30,1.0
173,0,97.52,53,5,1,189,3.0
174,0,69.55,65,4,1,223,19.0
175,0,69.43,53,1,0,14,9.0
176,0,143.55,87,1,0,47,3.0
177,0,87.45,53,5,1,99,8.0
178,1,47.85,55,5,0,46,20.0
179,0,76.02,42,2,1,57,1.0
180,0,56.56,56,3,1,14,12.0
181,1,57.96,36,3,0,48,9.0
182,0,37.38,42,2,1,145,13.0
183,1,63.28,56,2,0,46,13.0
184,0,89.67,49,5,1,232,2.0
185,0,129.05,89,4,1,3,9.0
186,0,74.4,48,3,1,76,4.0
187,0,88.74,58,5,1,5,9.0
188,0,130.83,89,3,0,28,2.0
189,0,76.56,66,2,0,250,5.0
190,0,108.23,79,3,1,236,6.0
191,0,60.99,57,5,1,15,18.0
192,1,56.73,61,1,0,233,3.0
193,0,49.35,35,4,0,11,6.0
194,0,59.28,52,4,1,11,8.0
195,0,47.88,42,4,0,22,6.0
196,0,136.8,90,4,0,220,4.0
197,0,75.6,72,2,0,208,5.0
198,1,64.89,63,4,1,32,
199,1,40.5,50,2,1,115,13.0
200,0,100.92,58,2,1,9,4.0
201,1,67.2,35,4,1,196,8.0
202,0,87.98,83,1,1,92,9.0
203,0,174.44,89,2,1,248,5.0
204,0,118.32,87,2,1,13,4.0
205,0,110.94,86,1,0,87,8.0
206,0,83.16,42,4,0,178,5.0
207,0,107.16,76,4,0,7,2.0
208,1,66.4,40,1,0,43,1.0
209,0,156.62,82,5,1,12,
210,0,91.98,73,4,1,36,6.0
211,1,66.08,56,5,1,248,8.0
212,0,86.31,63,4,0,43,3.0
213,0,79.92,72,5,1,8,6.0
214,1,60.96,48,4,0,24,
215,1,60.8,40,1,0,19,4.0
216,0,127.2,80,2,0,140,2.0
217,1,68.2,62,3,0,92,6.0
218,0,83.78,71,5,0,206,11.0
219,0,95.36,64,5,0,147,5.0
220,0,117.92,88,1,1,43,1.0
221,0,85.32,54,1,0,65,5.0
222,0,64.96,56,4,1,35,1.0
223,0,99.66,66,2,1,47,5.0
224,0,83.22,73,2,0,33,11.0
225,1,35.28,36,4,1,40,11.0
226,0,79.75,55,5,0,66,9.0
227,0,154.8,86,3,1,33,3.0
228,0,99.0,75,4,1,12,12.0
229,1,39.48,47,5,1,17,2.0
